Residual,Model
-0.00957181893396264,SVR (XRP)
-0.00893955282942116,SVR (XRP)
-0.012681721358326126,SVR (XRP)
-0.007606783734034117,SVR (XRP)
-0.011156764905704719,SVR (XRP)
-0.011583861930558825,SVR (XRP)
-0.004582108009367758,SVR (XRP)
-0.010223984446624534,SVR (XRP)
0.00895086201039641,SVR (XRP)
-0.006463460872840887,SVR (XRP)
-0.0013218781121924206,SVR (XRP)
-0.003908418870593122,SVR (XRP)
0.0002810388038974043,SVR (XRP)
-0.015094177688817378,SVR (XRP)
0.012996328247729227,SVR (XRP)
-0.01617137884562858,SVR (XRP)
0.01782271642012656,SVR (XRP)
0.010162896812453859,SVR (XRP)
0.011040931829068512,SVR (XRP)
0.00761364547358534,SVR (XRP)
0.0020230096293869515,SVR (XRP)
0.00036024885152530217,SVR (XRP)
0.01640368322806518,SVR (XRP)
-0.0034188156605270414,SVR (XRP)
-0.003953174703031692,SVR (XRP)
-0.000686926342311267,SVR (XRP)
0.006362561650428145,SVR (XRP)
0.0051601415894140246,SVR (XRP)
0.003462546733122185,SVR (XRP)
-0.0009408465069071781,SVR (XRP)
-0.0041128492408795125,SVR (XRP)
-0.0026186019479368383,SVR (XRP)
0.0002220343171885908,SVR (XRP)
-0.014958431191856025,SVR (XRP)
-0.011767684605661355,SVR (XRP)
-0.010548518515923533,SVR (XRP)
0.006708570824679683,SVR (XRP)
-0.01700658431697999,SVR (XRP)
-0.011888127473873578,SVR (XRP)
-0.011013430211186837,SVR (XRP)
-0.00870122198186607,SVR (XRP)
-0.0037149318327966974,SVR (XRP)
0.014820197382746425,SVR (XRP)
0.016099794850206184,SVR (XRP)
0.013278755718785895,SVR (XRP)
0.010114898233148484,SVR (XRP)
0.008160195508098766,SVR (XRP)
0.014666432544235608,SVR (XRP)
-0.003073328114366003,SVR (XRP)
-0.021935372052157565,SVR (XRP)
-0.0170064496186888,SVR (XRP)
-0.033454541330749876,SVR (XRP)
-0.02233818898218276,SVR (XRP)
-0.01315668016521876,SVR (XRP)
-0.012987019847087833,SVR (XRP)
-0.006477120536472647,SVR (XRP)
-0.008383692948266575,SVR (XRP)
-0.019331269039513543,SVR (XRP)
-0.018584390917193883,SVR (XRP)
-0.0009564781862776428,SVR (XRP)
-0.0042653693446297325,SVR (XRP)
-0.004073419456563698,SVR (XRP)
-0.004589983392854435,SVR (XRP)
-0.0085182224752951,SVR (XRP)
-0.013433415289235473,SVR (XRP)
-0.016628430069290268,SVR (XRP)
-0.00029579735268336904,SVR (XRP)
-0.00041884926011670487,SVR (XRP)
0.010294599418537054,SVR (XRP)
0.015528349590141932,SVR (XRP)
0.004233914617049417,GB (DOGE)
-0.0029182301228387886,GB (DOGE)
0.0004436149420395663,GB (DOGE)
0.0035570144653248037,GB (DOGE)
0.0034787470625900208,GB (DOGE)
0.011770039694588563,GB (DOGE)
0.018206712259862312,GB (DOGE)
-0.0031189317999436583,GB (DOGE)
0.015413552354920618,GB (DOGE)
0.004931962235816795,GB (DOGE)
-0.0034656353290685726,GB (DOGE)
-0.0002802457465404806,GB (DOGE)
0.0026172247191574294,GB (DOGE)
-0.0005434153736195713,GB (DOGE)
-0.002263297451435664,GB (DOGE)
0.00014503694212048002,GB (DOGE)
-0.002993407594656272,GB (DOGE)
-0.012662905136923613,GB (DOGE)
-0.013456694414253428,GB (DOGE)
-0.015443347322230017,GB (DOGE)
-0.014085382837706134,GB (DOGE)
-0.009262302992223387,GB (DOGE)
-0.007586357694488927,GB (DOGE)
1.0295634083778982e-05,GB (DOGE)
-0.0021447109707374568,GB (DOGE)
-0.005105501706758636,GB (DOGE)
-0.006941210703766326,GB (DOGE)
-0.008903137797103222,GB (DOGE)
-0.007687077145444282,GB (DOGE)
-0.0032585396333325023,GB (DOGE)
-0.0018400249581193295,GB (DOGE)
-0.0026695024934964284,GB (DOGE)
-0.0014809140420623812,GB (DOGE)
0.010507933068273634,GB (DOGE)
0.003167177020289985,GB (DOGE)
0.005659796262631384,GB (DOGE)
0.008969035934577041,GB (DOGE)
0.0070229844343909775,GB (DOGE)
0.0091438401304835,GB (DOGE)
0.0061736556539895016,GB (DOGE)
0.003495212825318228,GB (DOGE)
0.001980356226215757,GB (DOGE)
0.002540772343365749,GB (DOGE)
0.006760563577470097,GB (DOGE)
0.006754067194385677,GB (DOGE)
0.0007029889185802551,GB (DOGE)
-0.002755812568528443,GB (DOGE)
-0.002084905199125048,GB (DOGE)
-0.0012786950043947587,GB (DOGE)
0.004492723293107764,GB (DOGE)
0.0013586527824120676,GB (DOGE)
0.003639941889745868,GB (DOGE)
0.0038236785308719823,GB (DOGE)
0.0005525259946300154,GB (DOGE)
0.004349387715172404,GB (DOGE)
0.008837155393033591,GB (DOGE)
-0.0007669629557088553,GB (DOGE)
-0.006561699409236427,GB (DOGE)
-0.007787838088735954,GB (DOGE)
-0.010407019723403438,GB (DOGE)
-0.0002044245377568199,GB (DOGE)
-0.004097523012587229,GB (DOGE)
-0.0014895853529345304,GB (DOGE)
0.005395666175506242,GB (DOGE)
0.0027087835496152346,GB (DOGE)
-0.0007525769240044611,GB (DOGE)
-0.0007972731540460409,GB (DOGE)
-0.0006722639872985547,GB (DOGE)
-0.00018909056823279702,GB (DOGE)
-0.0021548635276679717,GB (DOGE)
